"module name","licenses","repository","licenseUrl","parents"
"grapheme-splitter@1.0.4","MIT","https://github.com/orling/grapheme-splitter","https://github.com/orling/grapheme-splitter/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","neighbourhood-calculator-js-excel-addin"
"ignore@5.2.4","MIT","https://github.com/kaelzhang/node-ignore","https://github.com/kaelzhang/node-ignore/raw/master/LICENSE-MIT","neighbourhood-calculator-js-excel-addin"
"immutable@4.2.1","MIT","https://github.com/immutable-js/immutable-js","https://github.com/immutable-js/immutable-js/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"import-fresh@3.3.0","MIT","https://github.com/sindresorhus/import-fresh","https://github.com/sindresorhus/import-fresh/raw/master/license","neighbourhood-calculator-js-excel-addin"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js","https://github.com/jensyt/imurmurhash-js","neighbourhood-calculator-js-excel-addin"
"inflight@1.0.6","ISC","https://github.com/npm/inflight","https://github.com/npm/inflight/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path","https://github.com/sindresorhus/is-binary-path/raw/master/license","neighbourhood-calculator-js-excel-addin"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob","https://github.com/jonschlinkert/is-extglob/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob","https://github.com/micromatch/is-glob/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number","https://github.com/jonschlinkert/is-number/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"is-path-inside@3.0.3","MIT","https://github.com/sindresorhus/is-path-inside","https://github.com/sindresorhus/is-path-inside/raw/master/license","neighbourhood-calculator-js-excel-addin"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe","https://github.com/isaacs/isexe/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"js-sdsl@4.2.0","MIT","https://github.com/js-sdsl/js-sdsl","https://github.com/js-sdsl/js-sdsl/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"json-stable-stringify-without-jsonify@1.0.1","MIT","https://github.com/samn/json-stable-stringify","https://github.com/samn/json-stable-stringify/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"levn@0.4.1","MIT","https://github.com/gkz/levn","https://github.com/gkz/levn/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
